unique,dim,K,R,seed,baseline_disco_distance,max_residual,total_attempts
0,20,200,3.0,0,3.189142282105633,0.8603198409885876,11356
0,20,200,3.0,1,2.9240244794048937,0.5309699841295834,10713
0,20,200,3.0,2,3.0056065357749713,0.7344300079289626,11523
0,20,200,3.0,3,3.04236781059852,0.6263574835035486,12648
0,20,200,3.0,4,2.9739336141003108,0.5723759697818905,10231
0,20,500,3.0,0,3.001056030114552,0.7508778049260808,28034
0,20,500,3.0,1,2.9720557854527803,0.6264937016918071,26826
0,20,500,3.0,2,2.9763903791016597,0.7233376837755267,30543
0,20,500,3.0,3,3.154586523147869,0.6240334730695006,30773
0,20,500,3.0,4,2.8038677254970152,0.6066607110691158,28421
0,20,1000,3.0,0,3.1085096371048464,0.6711340215808879,55907
0,20,1000,3.0,1,3.1494534331070128,0.8358010310148165,56243
0,20,1000,3.0,2,2.902652003218323,0.830785869679024,58668
0,20,1000,3.0,3,2.7048649676901952,0.7873023544742371,59922
0,20,1000,3.0,4,3.078474858975676,0.6220902241480295,57929
